id_hogar,renglon,pobreden,age_baseline,sex_baseline,yycali_97,state,village,cut,y_post,y_baseline,xbin,bin_midpt
640080,3,1,16,female,752,3,300580128,759.35999,0,0,9,-7.5
211195,6,1,11,female,725,3,300580096,759.35999,1,1,4,-32.5
404921,5,1,16,female,728,3,300550016,759.35999,1,1,4,-32.5
327511,5,1,14,female,736,3,301960000,759.35999,1,1,6,-22.5
632289,5,1,9,female,742,3,302030016,759.35999,1,1,7,-17.5
452331,3,1,16,male,751,3,300580096,759.35999,1,1,9,-7.5
113997,2,1,7,female,719,3,300200032,759.35999,1,1,2,-42.5
646600,6,1,10,female,733.5,3,300580096,759.35999,1,1,5,-27.5
400682,3,1,14,male,710,3,300830112,759.35999,0,0,1,-47.5
401136,3,1,15,female,725,3,301550016,759.35999,0,1,4,-32.5
508440,3,1,12,female,750,3,300580096,759.35999,1,1,9,-7.5
420252,3,1,9,male,716,3,300230144,759.35999,1,1,2,-42.5
404923,4,no pobre,15,female,784,3,300550016,759.35999,1,1,15,22.5
409803,4,1,13,female,724,3,301550144,759.35999,0,1,3,-37.5
637906,5,1,9,female,735,3,300660032,759.35999,1,1,6,-22.5
514710,6,1,8,female,735,3,300580096,759.35999,1,0,6,-22.5
642930,4,1,15,male,712,3,300240000,759.35999,0,1,1,-47.5
411044,7,1,9,female,734,3,300580032,759.35999,1,1,5,-27.5
649620,4,1,14,female,723,3,300580128,759.35999,1,0,3,-37.5
400289,4,1,15,male,754,3,300550080,759.35999,0,0,9,-7.5
649760,5,1,6,male,712.5,3,300580128,759.35999,1,1,1,-47.5
450178,3,1,13,male,747,3,300720032,759.35999,1,1,8,-12.5
634092,3,1,12,female,722,3,300230016,759.35999,1,1,3,-37.5
618300,8,1,15,male,722,3,300580128,759.35999,1,1,3,-37.5
644430,6,no pobre,16,male,780,3,300240000,759.35999,0,1,15,22.5
407022,9,1,9,female,729,3,300580096,759.35999,1,1,4,-32.5
157912,8,1,8,female,746,3,300830016,759.35999,1,1,8,-12.5
640240,5,1,16,male,747,3,300580128,759.35999,0,0,8,-12.5
637906,4,1,10,male,735,3,300660032,759.35999,1,1,6,-22.5
513190,7,1,7,female,732.5,3,300580096,759.35999,1,1,5,-27.5
404117,5,1,8,male,733,3,300550016,759.35999,1,1,5,-27.5
642840,6,1,11,female,729,3,300240000,759.35999,1,1,4,-32.5
651025,7,1,7,female,739.5,3,300270016,759.35999,1,1,7,-17.5
400497,3,1,16,female,755,3,300580128,759.35999,1,1,10,-2.5
649830,6,1,14,male,717,3,300580128,759.35999,1,1,2,-42.5
330859,5,1,12,female,725,3,302000000,759.35999,0,1,4,-32.5
409831,3,no pobre,16,male,793.5,3,301550144,759.35999,0,1,17,32.5
644900,3,1,15,female,752,3,300580064,759.35999,1,1,9,-7.5
230142,8,1,7,female,745,3,300140032,759.35999,1,1,8,-12.5
407470,5,1,16,male,739,3,300580096,759.35999,0,1,6,-22.5
640460,3,1,12,male,712,3,300580128,759.35999,1,1,1,-47.5
649440,3,1,11,female,728,3,300580128,759.35999,1,1,4,-32.5
400289,6,1,9,male,754,3,300550080,759.35999,1,1,9,-7.5
618010,8,1,9,male,721,3,300580000,759.35999,1,1,3,-37.5
623466,3,1,6,male,727,3,300660032,759.35999,1,1,4,-32.5
409831,4,no pobre,14,female,793.5,3,301550144,759.35999,1,1,17,32.5
157922,8,1,6,male,715,3,300830016,759.35999,1,1,2,-42.5
401824,7,1,7,male,739.5,3,300580128,759.35999,1,1,7,-17.5
118876,6,1,14,female,751,3,300240000,759.35999,0,0,9,-7.5
451643,5,1,12,male,735,3,301610080,759.35999,1,1,6,-22.5
642480,8,1,9,male,735,3,300580096,759.35999,1,1,6,-22.5
618180,3,1,13,female,755,3,300580128,759.35999,1,1,10,-2.5
634063,6,1,9,female,735,3,300230016,759.35999,1,1,6,-22.5
623473,5,1,15,male,727.66998,3,300660032,759.35999,1,1,4,-32.5
423902,9,1,9,female,749.91998,3,300230176,759.35999,1,1,9,-7.5
644310,3,1,11,female,735,3,300790016,759.35999,1,1,6,-22.5
411044,5,1,13,female,734,3,300580032,759.35999,1,1,5,-27.5
410066,4,1,13,male,719,3,300580096,759.35999,0,1,2,-42.5
211217,7,1,6,male,756,3,300580096,759.35999,1,1,10,-2.5
407022,10,1,7,female,729,3,300580096,759.35999,1,1,4,-32.5
644430,7,no pobre,13,female,780,3,300240000,759.35999,1,0,15,22.5
314012,4,1,13,female,747.5,3,300830048,759.35999,1,1,8,-12.5
211195,3,1,16,male,725,3,300580096,759.35999,0,0,4,-32.5
118879,6,no pobre,16,male,790,3,300240000,759.35999,0,0,17,32.5
423902,6,1,14,male,749.91998,3,300230176,759.35999,1,1,9,-7.5
642420,5,1,7,male,739,3,300580096,759.35999,1,1,6,-22.5
411935,4,1,15,female,718.5,3,300580096,759.35999,0,1,2,-42.5
649080,5,1,12,male,711,3,300580128,759.35999,1,1,1,-47.5
424571,8,1,7,female,745.14001,3,300230176,759.35999,1,1,8,-12.5
423918,6,1,11,male,726.25,3,300230176,759.35999,1,1,4,-32.5
654312,4,1,14,female,737,3,300830048,759.35999,1,1,6,-22.5
113934,6,1,6,female,713,3,300200032,759.35999,1,1,1,-47.5
640240,8,1,7,female,747,3,300580128,759.35999,1,1,8,-12.5
404956,5,1,11,male,748,3,300550016,759.35999,1,1,8,-12.5
642710,5,1,10,male,710,3,300240000,759.35999,1,1,1,-47.5
404963,4,1,14,female,750,3,300550016,759.35999,1,1,9,-7.5
411372,3,1,12,female,736,3,300580096,759.35999,1,1,6,-22.5
332233,3,1,10,female,734,3,301960000,759.35999,1,1,5,-27.5
450206,6,1,10,male,727,3,300580064,759.35999,1,1,4,-32.5
222216,8,1,12,female,712,3,301100032,759.35999,1,1,1,-47.5
113962,9,1,8,male,722,3,300200032,759.35999,1,1,3,-37.5
404921,7,1,9,male,728,3,300550016,759.35999,1,1,4,-32.5
401144,7,no pobre,11,male,788,3,301550016,759.35999,1,1,16,27.5
118946,9,1,8,male,738,3,300240032,759.35999,1,1,6,-22.5
400468,4,1,10,male,753,3,300580128,759.35999,1,1,9,-7.5
646600,7,1,8,female,733.5,3,300580096,759.35999,1,1,5,-27.5
400877,8,1,15,male,753,3,300830016,759.35999,0,0,9,-7.5
401589,4,1,14,male,747,3,300580128,759.35999,1,1,8,-12.5
330859,4,1,14,male,725,3,302000000,759.35999,0,0,4,-32.5
643980,4,1,7,male,722,3,300580192,759.35999,1,1,3,-37.5
330898,3,1,15,male,759,3,302000000,759.35999,0,0,10,-2.5
411935,5,1,12,male,718.5,3,300580096,759.35999,1,1,2,-42.5
511230,8,1,8,male,738.5,3,300580128,759.35999,0,1,6,-22.5
637817,3,1,16,male,710,3,300660032,759.35999,1,1,1,-47.5
229262,7,1,13,female,754,3,300210048,759.35999,1,1,9,-7.5
451633,9,1,10,female,719.33002,3,300230016,759.35999,1,1,2,-42.5
229262,8,1,9,female,754,3,300210048,759.35999,1,1,9,-7.5
643160,7,1,11,female,750,3,300580192,759.35999,1,1,9,-7.5
328888,4,1,15,male,720,3,300460032,759.35999,0,1,3,-37.5
640240,9,1,14,male,747,3,300580128,759.35999,0,1,8,-12.5
512910,5,1,10,male,712.5,3,300230016,759.35999,1,1,1,-47.5
404924,7,1,9,male,722,3,300550016,759.35999,1,1,3,-37.5
511750,5,1,10,male,733,3,300580096,759.35999,1,1,5,-27.5
113985,5,1,7,female,733,3,300200032,759.35999,1,1,5,-27.5
452331,4,1,13,male,751,3,300580096,759.35999,1,1,9,-7.5
410044,5,1,13,male,744,3,300580096,759.35999,1,1,7,-17.5
618290,8,1,7,female,743,3,300580128,759.35999,1,1,7,-17.5
404127,5,no pobre,16,male,782.59998,3,300550016,759.35999,1,1,15,22.5
222216,6,1,15,male,712,3,301100032,759.35999,1,1,1,-47.5
644310,5,1,8,male,735,3,300790016,759.35999,1,1,6,-22.5
401144,8,no pobre,9,female,788,3,301550016,759.35999,1,1,16,27.5
222209,3,1,15,male,746,3,301100032,759.35999,0,0,8,-12.5
224949,6,1,12,female,723.5,3,301830016,759.35999,0,1,3,-37.5
230133,3,1,6,male,716,3,300140032,759.35999,1,1,2,-42.5
157922,6,1,10,female,715,3,300830016,759.35999,1,1,2,-42.5
